1	0.00871	0
0.9900	0.011446	0
0.98	0.014173	0
0.97	0.016833	0
0.96	0.019434	0
0.95	0.021979	0
0.94	0.024483	0
0.93	0.026965	0
0.92	0.029433	0
0.91	0.031892	0
0.9	0.034343	0
0.875	0.040442	0
0.85	0.0465		0
0.825	0.052505	0
0.8	0.058442	0
0.775	0.064291	0
0.75	0.070046	0
0.725	0.075688	0
0.7	0.081209	0
0.675	0.086593	0
0.65	0.091819	0
0.625	0.09687		0
0.6	0.101723	0
0.575	0.106356	0
0.55	0.11075		0
0.525	0.11488		0
0.5	0.11872		0
0.475	0.12224		0
0.45	0.125411	0
0.44	0.126574	0
0.43	0.12767		0
0.42	0.128697	0
0.41	0.12965		0
0.4	0.130529	0
0.39	0.131327	0
0.38	0.132041	0
0.37	0.132668	0
0.36	0.133205	0
0.35	0.133646	0
0.34	0.133988	0
0.33	0.134226	0
0.32	0.134353	0
0.31	0.134364	0
0.3	0.134251	0
0.29	0.134006	0
0.28	0.13362		0
0.27	0.133082	0
0.26	0.132383	0
0.25	0.131506	0
0.24	0.130434	0
0.23	0.129154	0
0.22	0.127662	0
0.21	0.125957	0
0.2	0.124041	0
0.19	0.121914	0
0.18	0.119576	0
0.17	0.117025	0
0.16	0.114255	0
0.15	0.111257	0
0.14	0.108022	0
0.13	0.104536	0
0.12	0.100782	0
0.11	0.096744	0
0.1	0.092397	0
0.095	0.090098	0
0.09	0.087709	0
0.085	0.085226	0
0.08	0.082642	0
0.075	0.079952	0
0.07	0.077147	0
0.065	0.074219	0
0.06	0.071156	0
0.055	0.067948	0
0.05	0.064578	0
0.045	0.061028	0
0.04	0.057273	0
0.035	0.053283	0
0.03	0.049016	0
0.025	0.044413	0
0.02	0.039382	0
0.0175	0.036663	0
0.015	0.033778	0
0.0125	0.030686	0
0.01	0.027323	0
0.009	0.025882	0
0.008	0.024374	0
0.007	0.022787	0
0.006	0.021103	0
0.005	0.019294	0
0.004	0.017317	0
0.003	0.0151		0
0.002	0.012499	0
0.00175	0.011744	0
0.0015	0.010927	0
0.00125	0.010029	0
0.001	0.009023	0
0.00075	0.007862	0
0.0005	0.006453	0
0.0004	0.005778	0
0.0003	0.005001	0
0.0002	0.004072	0
0.0001	0.002848	0
0	0.000008	0
0.0000	0.000000	0
0.0001	-0.002782	0
0.0002	-0.003965	0
0.0003	-0.004879	0
0.0004	-0.00565	0
0.0005	-0.006328	0
0.00075	-0.007782	0
0.001	-0.009007	0
0.00125	-0.010084	0
0.0015	-0.011056	0
0.00175	-0.011948	0
0.002	-0.012779	0
0.003	-0.015693	0
0.004	-0.018195	0
0.005	-0.020439	0
0.006	-0.022491	0
0.007	-0.02439	0
0.008	-0.026174	0
0.009	-0.02787	0
0.01	-0.029489	0
0.0125	-0.033271	0
0.015	-0.03677	0
0.0175	-0.04006	0
0.02	-0.043185	0
0.025	-0.049031	0
0.03	-0.054447	0
0.035	-0.05954	0
0.04	-0.064365	0
0.045	-0.068959	0
0.05	-0.073348	0
0.055	-0.07755	0
0.06	-0.081584	0
0.065	-0.085468	0
0.07	-0.089214	0
0.075	-0.092828	0
0.08	-0.096321	0
0.085	-0.0997		0
0.09	-0.102973	0
0.095	-0.106144	0
0.1	-0.10922	0
0.11	-0.115093	0
0.12	-0.12061	0
0.13	-0.125781	0
0.14	-0.13062	0
0.15	-0.135143	0
0.16	-0.139363	0
0.17	-0.14329	0
0.18	-0.146927	0
0.19	-0.15027	0
0.2	-0.153309	0
0.21	-0.156048	0
0.22	-0.158471	0
0.23	-0.16057	0
0.24	-0.162331	0
0.25	-0.163742	0
0.26	-0.164803	0
0.27	-0.165522	0
0.28	-0.165901	0
0.29	-0.165957	0
0.3	-0.165698	0
0.31	-0.165134	0
0.32	-0.16428	0
0.33	-0.163158	0
0.34	-0.161791	0
0.35	-0.16019	0
0.36	-0.158368	0
0.37	-0.156347	0
0.38	-0.154138	0
0.39	-0.151756	0
0.4	-0.149219	0
0.41	-0.146538	0
0.42	-0.143739	0
0.43	-0.140831	0
0.44	-0.137821	0
0.45	-0.134714	0
0.475	-0.126593	0
0.5	-0.118082	0
0.525	-0.109311	0
0.55	-0.100352	0
0.575	-0.091254	0
0.6	-0.082103	0
0.625	-0.072975	0
0.65	-0.063937	0
0.675	-0.055058	0
0.7	-0.046414	0
0.725	-0.038104	0
0.75	-0.030228	0
0.775	-0.022921	0
0.8	-0.016351	0
0.825	-0.01067	0
0.85	-0.005992	0
0.875	-0.002481	0
0.9	-0.000269	0
0.91	0.000233	0
0.92	0.000501	0
0.93	0.000525	0
0.94	0.000288	0
0.95	-0.000248	0
0.96	-0.001116	0
0.97	-0.002364	0
0.98	-0.004023	0
0.99	-0.006126	0
1	-0.00871	0
